Event,ParticleID,px,py,pz,E,vx,vy,vz
163,211,6.2033275894258666e-02,-2.7611100321094776e-03,4.9976659016037885e+00,5.0000000000000000e+00,0,0,0
164,211,-5.0329961467769135e-02,4.6010339058412827e-02,4.9975864333474398e+00,5.0000000000000000e+00,0,0,0
165,211,7.5333195720797122e-02,4.3793162725742928e-02,4.9972919950330068e+00,5.0000000000000000e+00,0,0,0
166,211,2.0901006594202021e-02,-6.1977851283772992e-02,4.9976236461916166e+00,5.0000000000000000e+00,0,0,0
167,211,-4.5691454830013613e-02,1.0035498474336798e-02,4.9978327097678932e+00,5.0000000000000000e+00,0,0,0
168,211,8.2068557205176289e-03,7.0342594000022352e-02,4.9975498778990213e+00,5.0000000000000000e+00,0,0,0
169,211,-6.4549944666164732e-02,4.3588495480459462e-02,4.9974447033264253e+00,5.0000000000000000e+00,0,0,0
170,211,-1.9198316996917146e-02,9.4720276221467933e-02,4.9971171398114143e+00,5.0000000000000000e+00,0,0,0
171,211,-1.9520476873899760e-02,2.0326623871219932e-02,4.9979721882424082e+00,5.0000000000000000e+00,0,0,0
172,211,5.6156243110924813e-02,5.1048596643559048e-02,4.9974754358816398e+00,5.0000000000000000e+00,0,0,0
173,211,5.0283612048962513e-02,-1.1235158751719775e-02,4.9977860643155916e+00,5.0000000000000000e+00,0,0,0
174,211,9.6277276246705974e-03,-7.5467131842930843e-02,4.9974725846143651e+00,5.0000000000000000e+00,0,0,0
175,211,3.3918521904689893e-02,1.8698695406666136e-02,4.9979015704355243e+00,5.0000000000000000e+00,0,0,0
176,211,6.0634084948629076e-02,-1.0644657883321602e-02,4.9976724996843274e+00,5.0000000000000000e+00,0,0,0
177,211,8.4145082928409276e-02,6.6872454293261168e-03,4.9973388018892146e+00,5.0000000000000000e+00,0,0,0
178,211,3.5669426322783179e-02,5.6493077609584420e-02,4.9976050703620025e+00,5.0000000000000000e+00,0,0,0
179,211,2.8676871575353400e-02,4.0054416204168830e-03,4.9979677678606604e+00,5.0000000000000000e+00,0,0,0
180,211,-5.7561304478162267e-02,-3.9388113068970894e-02,4.9975649558435595e+00,5.0000000000000000e+00,0,0,0
181,211,-6.3278463963701887e-04,9.8164634766204004e-02,4.9970875036529847e+00,5.0000000000000000e+00,0,0,0
182,211,-8.4744794330283507e-02,9.7907865725987003e-03,4.9973235512054055e+00,5.0000000000000000e+00,0,0,0
183,211,6.1323971705124058e-03,4.1449502095131714e-02,4.9978760036220393e+00,5.0000000000000000e+00,0,0,0
184,211,-5.3376401024631738e-02,3.2344749721949825e-02,4.9976619525613248e+00,5.0000000000000000e+00,0,0,0
185,211,3.6942553986461034e-02,-5.9406784635269785e-02,4.9975620353072410e+00,5.0000000000000000e+00,0,0,0
186,211,-3.4685577482745929e-02,6.6258709778354880e-02,4.9974920619439898e+00,5.0000000000000000e+00,0,0,0
187,211,9.5022140323194351e-02,3.0501912521935480e-02,4.9970551969415844e+00,5.0000000000000000e+00,0,0,0
188,211,6.9707493854946085e-03,8.9367424062104642e-02,4.9972477512396267e+00,5.0000000000000000e+00,0,0,0
189,211,8.0548983918818443e-02,1.9937932085051267e-02,4.9973627600119057e+00,5.0000000000000000e+00,0,0,0
190,211,-2.2999828646625888e-02,8.4301555371989509e-02,4.9972877114234766e+00,5.0000000000000000e+00,0,0,0
191,211,-3.5447386233795196e-02,3.5043953710696983e-02,4.9978030792756840e+00,5.0000000000000000e+00,0,0,0
192,211,7.5127474580032105e-02,-3.6131245850177116e-02,4.9973563621915673e+00,5.0000000000000000e+00,0,0,0
193,211,-7.9956163287236343e-02,-2.4372644992603963e-02,4.9973526192603668e+00,5.0000000000000000e+00,0,0,0
194,211,3.6428455950654616e-02,2.3334245778277633e-02,4.9978644134941286e+00,5.0000000000000000e+00,0,0,0
195,211,7.6097412616309520e-02,4.2017141709964553e-02,4.9972956645265274e+00,5.0000000000000000e+00,0,0,0
196,211,-5.1457304499683554e-02,5.6088509231376295e-02,4.9974720049286745e+00,5.0000000000000000e+00,0,0,0
197,211,4.4008548917300078e-02,7.9513981570547860e-03,4.9978515622204647e+00,5.0000000000000000e+00,0,0,0
198,211,-6.5110703611930651e-02,5.7314709861728385e-03,4.9976242317340640e+00,5.0000000000000000e+00,0,0,0
199,211,9.7712202071432025e-02,1.3524619191624922e-02,4.9970781087893830e+00,5.0000000000000000e+00,0,0,0
200,211,-5.0903683877230842e-02,-6.9536343214039328e-02,4.9973086483666531e+00,5.0000000000000000e+00,0,0,0
201,211,3.1004008992499194e-02,-2.4895006073757397e-02,4.9978934767758885e+00,5.0000000000000000e+00,0,0,0
202,211,-7.3022753271731675e-03,-3.2477923477855240e-02,4.9979407835989420e+00,5.0000000000000000e+00,0,0,0
203,211,-4.5948662255611478e-02,5.5785467374436570e-02,4.9975290811726882e+00,5.0000000000000000e+00,0,0,0
204,211,2.6058792812333427e-02,-2.1412402677233339e-02,4.9979378410929387e+00,5.0000000000000000e+00,0,0,0
205,211,3.0962465235502567e-02,-4.7812722385284140e-02,4.9977270318040228e+00,5.0000000000000000e+00,0,0,0
206,211,-7.6725453354500747e-02,-2.1501398363243236e-02,4.9974164435011783e+00,5.0000000000000000e+00,0,0,0
207,211,-6.9716132968127245e-02,1.4948584309089063e-02,4.9975430379068397e+00,5.0000000000000000e+00,0,0,0
208,211,-7.8729691423729251e-02,-4.1123075541579124e-02,4.9972623248581138e+00,5.0000000000000000e+00,0,0,0
209,211,1.2586166207499411e-02,7.1916854009545506e-02,4.9975183611097984e+00,5.0000000000000000e+00,0,0,0
210,211,-6.6947600498549045e-02,-6.4358833014029684e-02,4.9971888271807936e+00,5.0000000000000000e+00,0,0,0
211,211,1.0627795740255103e-02,6.3775904638223913e-02,4.9976334298390954e+00,5.0000000000000000e+00,0,0,0
212,211,4.0188477274481590e-02,-6.5208440156395014e-02,4.9974646532743705e+00,5.0000000000000000e+00,0,0,0
213,211,-1.7523875765690929e-02,-6.8782125317646506e-02,4.9975476133914860e+00,5.0000000000000000e+00,0,0,0
214,211,-2.1860012447553773e-02,9.1487368675001485e-02,4.9971664387259223e+00,5.0000000000000000e+00,0,0,0
215,211,7.2189083524163353e-02,-9.4184129433584462e-03,4.9975214101409877e+00,5.0000000000000000e+00,0,0,0
216,211,-7.2245910134096022e-02,-3.3703299891337732e-02,4.9974158153134836e+00,5.0000000000000000e+00,0,0,0
217,211,-5.4511447558235483e-02,6.7090868762546066e-02,4.9973040264240272e+00,5.0000000000000000e+00,0,0,0
218,211,-5.9540992577843087e-02,8.8029642180787546e-03,4.9976892253444314e+00,5.0000000000000000e+00,0,0,0
219,211,4.1842585231469297e-02,-1.4325144880554945e-02,4.9978559606480557e+00,5.0000000000000000e+00,0,0,0
220,211,2.0108668140905471e-02,-6.3258997278984250e-02,4.9976108447766174e+00,5.0000000000000000e+00,0,0,0
221,211,-3.7838808704386030e-02,-1.1171916213178886e-02,4.9978959200791637e+00,5.0000000000000000e+00,0,0,0
222,211,3.7441384110810202e-02,-2.6731150991180855e-02,4.9978399137449925e+00,5.0000000000000000e+00,0,0,0
223,211,-3.6017636570107932e-02,6.1736034055503118e-02,4.9975405558189321e+00,5.0000000000000000e+00,0,0,0
224,211,8.0823477620423183e-03,3.0552870586668883e-02,4.9979517217409741e+00,5.0000000000000000e+00,0,0,0
225,211,5.1453426094322317e-02,-7.1800878398635415e-02,4.9972709946434106e+00,5.0000000000000000e+00,0,0,0
226,211,2.8822414457927728e-02,3.6213237276009690e-02,4.9978373407875933e+00,5.0000000000000000e+00,0,0,0
227,211,6.8861286623551940e-02,-1.4244445904586060e-02,4.9975569465555285e+00,5.0000000000000000e+00,0,0,0
228,211,1.4515234279782564e-02,7.3073899461246872e-02,4.9974963460007986e+00,5.0000000000000000e+00,0,0,0
229,211,-2.2400644946264738e-02,2.1599663587534873e-02,4.9979547697772224e+00,5.0000000000000000e+00,0,0,0
230,211,4.0550053859676180e-02,-7.9630264557578004e-02,4.9972527381750931e+00,5.0000000000000000e+00,0,0,0
231,211,-7.8862373029633861e-03,-3.7726654152304015e-02,4.9979030324654827e+00,5.0000000000000000e+00,0,0,0
232,211,-8.5348311833769397e-02,-1.9296174124824896e-02,4.9972856170556499e+00,5.0000000000000000e+00,0,0,0
233,211,-6.9390561265140205e-02,-4.8762068044444364e-02,4.9973320307767555e+00,5.0000000000000000e+00,0,0,0
234,211,-7.4856830157100318e-02,-7.5429694500734378e-03,4.9974853450201033e+00,5.0000000000000000e+00,0,0,0
235,211,-8.9620455074260558e-02,1.1607431038450225e-02,4.9972346009244921e+00,5.0000000000000000e+00,0,0,0
