Event,ParticleID,px,py,pz,E,vx,vy,vz
207,2212,-6.8504328254078872e-02,1.4688748254464727e-02,4.9106758243342812e+00,5.0000000000000000e+00,0,0,0
208,2212,-7.7361213180013877e-02,-4.0408274896795278e-02,4.9103999906353026e+00,5.0000000000000000e+00,0,0,0
209,2212,1.2367393666730160e-02,7.0666796397369294e-02,4.9106515764689336e+00,5.0000000000000000e+00,0,0,0
210,2212,-6.5783918371838737e-02,-6.3240148802547247e-02,4.9103277704934403e+00,5.0000000000000000e+00,0,0,0
211,2212,1.0443063563789257e-02,6.2667352878495189e-02,4.9107646450754086e+00,5.0000000000000000e+00,0,0,0
212,2212,3.9489921801906712e-02,-6.4074988087081466e-02,4.9105988021822471e+00,5.0000000000000000e+00,0,0,0
213,2212,-1.7219276035941557e-02,-6.7586555509718441e-02,4.9106803202879261e+00,5.0000000000000000e+00,0,0,0
214,2212,-2.1480042058989443e-02,8.9897136688282808e-02,4.9103057711943343e+00,5.0000000000000000e+00,0,0,0
215,2212,7.0934294022895306e-02,-9.2547022394266331e-03,4.9106545725019117e+00,5.0000000000000000e+00,0,0,0
216,2212,-7.0990132873598247e-02,-3.3117469668855641e-02,4.9105508131220192e+00,5.0000000000000000e+00,0,0,0
217,2212,-5.3563930444070949e-02,6.5924696349150394e-02,4.9104409673452603e+00,5.0000000000000000e+00,0,0,0
218,2212,-5.8506051992169232e-02,8.6499512340977858e-03,4.9108194707441584e+00,5.0000000000000000e+00,0,0,0
219,2212,4.1115278080703387e-02,-1.4076145440158288e-02,4.9109833078573883e+00,5.0000000000000000e+00,0,0,0
220,2212,1.9759139591214912e-02,-6.2159430394749679e-02,4.9107424525861276e+00,5.0000000000000000e+00,0,0,0
221,2212,-3.7181095133512650e-02,-1.0977726143309790e-02,4.9110225727143009e+00,5.0000000000000000e+00,0,0,0
222,2212,3.6790578567899225e-02,-2.6266510549952403e-02,4.9109675398813391e+00,5.0000000000000000e+00,0,0,0
223,2212,-3.5391578584297208e-02,6.0662939293788305e-02,4.9106733853899858e+00,5.0000000000000000e+00,0,0,0
224,2212,7.9418605218349626e-03,3.0021801076236313e-02,4.9110774044325129e+00,5.0000000000000000e+00,0,0,0
225,2212,5.0559063460589526e-02,-7.0552836672682834e-02,4.9104085097225285e+00,5.0000000000000000e+00,0,0,0
226,2212,2.8321423708392884e-02,3.5583779361841046e-02,4.9109650116470442e+00,5.0000000000000000e+00,0,0,0
227,2212,6.7664340835064118e-02,-1.3996849172505753e-02,4.9106894912230601e+00,5.0000000000000000e+00,0,0,0
228,2212,1.4262930708472909e-02,7.1803730103438101e-02,4.9106299440262076e+00,5.0000000000000000e+00,0,0,0
229,2212,-2.2011277292209429e-02,2.1224218578713164e-02,4.9110803994878447e+00,5.0000000000000000e+00,0,0,0
230,2212,3.9845213468650234e-02,-7.8246132565978455e-02,4.9103905705878530e+00,5.0000000000000000e+00,0,0,0
231,2212,-7.7491588516355667e-03,-3.7070890050070519e-02,4.9110295614732342e+00,5.0000000000000000e+00,0,0,0
