Event,ParticleID,px,py,pz,E,vx,vy,vz
159,2112,-8.1714012790889204e-02,-1.2675120100112042e-02,4.9102321505422797e+00,5.0000000000000000e+00,0,0,0
160,2112,-4.9799136592959564e-02,8.4254927055866874e-02,4.9099530307362826e+00,5.0000000000000000e+00,0,0,0
161,2112,-3.2059203899474038e-02,7.4667561850550471e-02,4.9102560598636424e+00,5.0000000000000000e+00,0,0,0
162,2112,5.0447144435914838e-02,7.6928348647924551e-04,4.9106692114818911e+00,5.0000000000000000e+00,0,0,0
163,2112,6.0951946334727794e-02,-2.7129798978904407e-03,4.9105493695464544e+00,5.0000000000000000e+00,0,0,0
164,2112,-4.9452637575380834e-02,4.5208312421085035e-02,4.9104712865365450e+00,5.0000000000000000e+00,0,0,0
165,2112,7.4020029356897860e-02,4.3029784672947324e-02,4.9101819807070290e+00,5.0000000000000000e+00,0,0,0
166,2112,2.0536671873385641e-02,-6.0897487855222310e-02,4.9105078507071225e+00,5.0000000000000000e+00,0,0,0
167,2112,-4.4894986805176701e-02,9.8605652471536152e-03,4.9107132700034288e+00,5.0000000000000000e+00,0,0,0
168,2112,8.0637983766409672e-03,6.9116421029309663e-02,4.9104353683023705e+00,5.0000000000000000e+00,0,0,0
169,2112,-6.3424745936492832e-02,4.2828685073237990e-02,4.9103320270744204e+00,5.0000000000000000e+00,0,0,0
170,2112,-1.8863662614043715e-02,9.3069165054297048e-02,4.9100101734643973e+00,5.0000000000000000e+00,0,0,0
171,2112,-1.9180206779251412e-02,1.9972301470531591e-02,4.9108503171667603e+00,5.0000000000000000e+00,0,0,0
172,2112,5.5177358717787915e-02,5.0158745902525427e-02,4.9103622239168274e+00,5.0000000000000000e+00,0,0,0
173,2112,4.9407096093861097e-02,-1.1039313713889347e-02,4.9106674376487049e+00,5.0000000000000000e+00,0,0,0
174,2112,9.4599024321172596e-03,-7.4151630779052208e-02,4.9103594223512586e+00,5.0000000000000000e+00,0,0,0
175,2112,3.3327273097942110e-02,1.8372750149440675e-02,4.9107809303302057e+00,5.0000000000000000e+00,0,0,0
176,2112,5.9577145307365874e-02,-1.0459106128164426e-02,4.9105558526129220e+00,5.0000000000000000e+00,0,0,0
177,2112,8.2678312648297614e-02,6.5706770867660020e-03,4.9102279716521560e+00,5.0000000000000000e+00,0,0,0
178,2112,3.5047656724155496e-02,5.5508321704830263e-02,4.9104895986810373e+00,5.0000000000000000e+00,0,0,0
179,2112,2.8176992301491444e-02,3.9356209901068705e-03,4.9108459738386481e+00,5.0000000000000000e+00,0,0,0
180,2112,-5.6557927836833638e-02,-3.8701521391494055e-02,4.9104501834165664e+00,5.0000000000000000e+00,0,0,0
181,2112,-6.2175428978377290e-04,9.6453483456797287e-02,4.9099810539069955e+00,5.0000000000000000e+00,0,0,0
182,2112,-8.3267570214602390e-02,9.6201190271662223e-03,4.9102129868097837e+00,5.0000000000000000e+00,0,0,0
183,2112,6.0255006341669460e-03,4.0726977430793440e-02,4.9107558091831915e+00,5.0000000000000000e+00,0,0,0
184,2112,-5.2445973292462755e-02,3.1780934036484638e-02,4.9105454893415024e+00,5.0000000000000000e+00,0,0,0
185,2112,3.6298591934574263e-02,-5.8371238610386282e-02,4.9104473137894118e+00,5.0000000000000000e+00,0,0,0
186,2112,-3.4080957789834262e-02,6.5103724805743696e-02,4.9103785601629069e+00,5.0000000000000000e+00,0,0,0
187,2112,9.3365767228913363e-02,2.9970220149467267e-02,4.9099493103482184e+00,5.0000000000000000e+00,0,0,0
188,2112,6.8492391596689465e-03,8.7809620836264896e-02,4.9101385081468445e+00,5.0000000000000000e+00,0,0,0
189,2112,7.9144898836320712e-02,1.9590385143370564e-02,4.9102515121501789e+00,5.0000000000000000e+00,0,0,0
190,2112,-2.2598908427256283e-02,8.2832057551278787e-02,4.9101777717669979e+00,5.0000000000000000e+00,0,0,0
191,2112,-3.4829487114489487e-02,3.4433087002725571e-02,4.9106841560134775e+00,5.0000000000000000e+00,0,0,0
192,2112,7.3817894232626802e-02,-3.5501426070433877e-02,4.9102452258530862e+00,5.0000000000000000e+00,0,0,0
193,2112,-7.8562411924233314e-02,-2.3947794602317000e-02,4.9102415481665798e+00,5.0000000000000000e+00,0,0,0
